layer_id,reliability_r_l,structural_entropy_S_l,D_R,empirical_delta_prob,structural_atmap_delta_prob,combined_layer_risk_score,crew_birnbaum_sensitivity,monitoring_candidate_flag,selected_for_intervention_flag,selected_by_empirical_policy,selected_by_birnbaum_policy,selected_by_combined_risk_policy,intervention_flag,intervention_type,intervention_reason
0,0.997514,0.002489,0.439655,0.012547,0.049089,0.003584,0.019483,1,1,1,1,0,1,regularization,"Selected by union_empirical_and_birnbaum policy: bypass-dominated caution (Attention/MLP paths are masked), high bottleneck sensitivity D_R (0.4397), high empirical sensitivity (0.0125)"
1,0.995797,0.004211,0.408765,0.004577,0.036086,0.005933,0.019772,1,1,1,0,0,1,regularization,"Selected by union_empirical_and_birnbaum policy: bypass-dominated caution (Attention/MLP paths are masked), high bottleneck sensitivity D_R (0.4088)"
2,0.995513,0.004497,0.356079,0.002514,0.009559,0.006098,0.020309,1,0,0,0,0,0,freeze,Stable representational highway block; frozen to prevent activation drift
3,0.995589,0.004421,0.344438,0.004638,0.002863,0.005944,0.020444,1,1,1,0,0,1,regularization,Selected by union_empirical_and_birnbaum policy: bypass-dominated caution (Attention/MLP paths are masked)
4,0.995661,0.004348,0.344446,0.003058,0.002853,0.005846,0.020443,1,0,0,0,0,0,freeze,Stable representational highway block; frozen to prevent activation drift
5,0.995708,0.004301,0.345195,-0.001507,0.003283,0.005786,0.020433,1,0,0,0,0,0,freeze,Stable representational highway block; frozen to prevent activation drift
6,0.995739,0.004270,0.345643,0.000985,0.003539,0.005746,0.020427,1,0,0,0,0,0,freeze,Stable representational highway block; frozen to prevent activation drift
7,0.995752,0.004257,0.346173,0.004047,0.003847,0.005731,0.020421,1,1,1,0,0,1,regularization,Selected by union_empirical_and_birnbaum policy: bypass-dominated caution (Attention/MLP paths are masked)
8,0.995770,0.004239,0.346004,0.001127,0.003744,0.005705,0.020423,1,0,0,0,0,0,freeze,Stable representational highway block; frozen to prevent activation drift
9,0.995790,0.004219,0.345941,0.003259,0.003703,0.005679,0.020423,1,0,0,0,0,0,freeze,Stable representational highway block; frozen to prevent activation drift
10,0.995799,0.004209,0.346225,0.001611,0.003867,0.005667,0.020419,1,0,0,0,0,0,freeze,Stable representational highway block; frozen to prevent activation drift
11,0.995806,0.004203,0.346315,-0.000403,0.003918,0.005658,0.020418,1,0,0,0,0,0,freeze,Stable representational highway block; frozen to prevent activation drift
12,0.995814,0.004195,0.346282,-0.001255,0.003898,0.005648,0.020418,1,0,0,0,0,0,freeze,Stable representational highway block; frozen to prevent activation drift
13,0.995816,0.004192,0.346424,-0.000554,0.003980,0.005645,0.020417,1,0,0,0,0,0,freeze,Stable representational highway block; frozen to prevent activation drift
14,0.995807,0.004201,0.346806,0.000334,0.004205,0.005659,0.020412,1,0,0,0,0,0,freeze,Stable representational highway block; frozen to prevent activation drift
15,0.995783,0.004225,0.347308,0.000629,0.004501,0.005693,0.020407,1,0,0,0,0,0,freeze,Stable representational highway block; frozen to prevent activation drift
16,0.995732,0.004277,0.348241,0.001149,0.005053,0.005766,0.020397,1,0,0,0,0,0,freeze,Stable representational highway block; frozen to prevent activation drift
17,0.995609,0.004401,0.350710,-0.000118,0.006499,0.005944,0.020370,1,0,0,0,0,0,freeze,Stable representational highway block; frozen to prevent activation drift
18,0.995418,0.004592,0.353136,0.000945,0.007921,0.006214,0.020345,1,0,0,0,0,0,freeze,Stable representational highway block; frozen to prevent activation drift
19,0.995158,0.004854,0.355771,0.000607,0.009458,0.006580,0.020319,1,0,0,0,0,0,freeze,Stable representational highway block; frozen to prevent activation drift
20,0.994746,0.005268,0.361414,0.000424,0.012665,0.007172,0.020262,1,0,0,0,1,0,freeze,Stable representational highway block; frozen to prevent activation drift
21,0.992118,0.007914,0.458056,-0.000676,0.057330,0.011538,0.019428,1,1,0,1,1,1,regularization,"Selected by union_empirical_and_birnbaum policy: bypass-dominated caution (Attention/MLP paths are masked), high bottleneck sensitivity D_R (0.4581)"
22,0.989330,0.010728,0.472719,-0.000925,0.063301,0.015799,0.019367,1,1,0,1,1,1,regularization,"Selected by union_empirical_and_birnbaum policy: bypass-dominated caution (Attention/MLP paths are masked), high bottleneck sensitivity D_R (0.4727)"
23,0.984809,0.015308,0.599626,0.001285,0.102672,0.024487,0.018705,1,1,0,1,1,1,regularization,"Selected by union_empirical_and_birnbaum policy: bypass-dominated caution (Attention/MLP paths are masked), high bottleneck sensitivity D_R (0.5996)"
