id,prompt,target,priority_score
101,Train Fact 101: The capital of France is,Paris,10.503159495186122
111,Train Fact 111: The capital of France is,Paris,10.43145970539161
126,Train Fact 126: The capital of France is,Paris,10.407808638797144
121,Train Fact 121: The capital of France is,Paris,10.368873969717608
186,Train Fact 186: The capital of France is,Paris,10.332569333631765
151,Train Fact 151: The capital of France is,Paris,10.309874128490922
181,Train Fact 181: The capital of France is,Paris,10.2808679753622
141,Train Fact 141: The capital of France is,Paris,10.279641757828797
116,Train Fact 116: The capital of France is,Paris,10.253998653341043
166,Train Fact 166: The capital of France is,Paris,10.250331312710697
176,Train Fact 176: The capital of France is,Paris,10.244093892526946
131,Train Fact 131: The capital of France is,Paris,10.23856912644471
146,Train Fact 146: The capital of France is,Paris,10.223950667787724
171,Train Fact 171: The capital of France is,Paris,10.22246993093235
156,Train Fact 156: The capital of France is,Paris,10.218053737896918
191,Train Fact 191: The capital of France is,Paris,10.213017648912865
136,Train Fact 136: The capital of France is,Paris,10.212368341842595
106,Train Fact 106: The capital of France is,Paris,10.184573700686453
91,Train Fact 91: The capital of France is,Paris,10.159241675369996
196,Train Fact 196: The capital of France is,Paris,10.157314115704942
51,Train Fact 51: The capital of France is,Paris,10.142411726604333
96,Train Fact 96: The capital of France is,Paris,10.11739869883808
161,Train Fact 161: The capital of France is,Paris,10.096023600580521
36,Train Fact 36: The capital of France is,Paris,10.094486303875822
56,Train Fact 56: The capital of France is,Paris,9.994121982442522
81,Train Fact 81: The capital of France is,Paris,9.988331385068452
46,Train Fact 46: The capital of France is,Paris,9.981660716438856
41,Train Fact 41: The capital of France is,Paris,9.981487643299918
21,Train Fact 21: The capital of France is,Paris,9.975383704360576
31,Train Fact 31: The capital of France is,Paris,9.974852041776906
26,Train Fact 26: The capital of France is,Paris,9.972992353931042
11,Train Fact 11: The capital of France is,Paris,9.950995097330889
71,Train Fact 71: The capital of France is,Paris,9.949203281304218
16,Train Fact 16: The capital of France is,Paris,9.929115485217336
76,Train Fact 76: The capital of France is,Paris,9.921285339676544
61,Train Fact 61: The capital of France is,Paris,9.896404661957714
66,Train Fact 66: The capital of France is,Paris,9.894296110774814
86,Train Fact 86: The capital of France is,Paris,9.877308925628023
6,Train Fact 6: The capital of France is,Paris,9.754346681994722
