layer_id,reliability_r_l,structural_entropy_S_l,D_R,delta_prob,combined_layer_risk_score,intervention_flag,intervention_type,intervention_reason
0,0.888688,0.118009,0.395073,0.012154,0.164632,1,regularization,High structural entropy (0.1180) and high bottleneck sensitivity (0.3951)
1,0.914421,0.089464,0.383955,0.011788,0.123814,1,regularization,High structural entropy (0.0895) and high bottleneck sensitivity (0.3840)
2,0.978545,0.021688,0.358794,-0.001980,0.029470,1,regularization,High structural entropy (0.0217) and high bottleneck sensitivity (0.3588)
3,0.991742,0.008293,0.354020,0.010343,0.011228,1,regularization,High structural entropy (0.0083) and high bottleneck sensitivity (0.3540)
4,0.990319,0.009728,0.354528,0.003315,0.013177,1,regularization,High structural entropy (0.0097) and high bottleneck sensitivity (0.3545)
5,0.990161,0.009887,0.354585,0.002229,0.013393,1,regularization,High structural entropy (0.0099) and high bottleneck sensitivity (0.3546)
6,0.989214,0.010844,0.354924,-0.006183,0.014693,1,regularization,High structural entropy (0.0108) and high bottleneck sensitivity (0.3549)
7,0.987323,0.012758,0.355604,-0.005487,0.017294,1,regularization,High structural entropy (0.0128) and high bottleneck sensitivity (0.3556)
8,0.987323,0.012758,0.355604,-0.004826,0.017294,1,regularization,High structural entropy (0.0128) and high bottleneck sensitivity (0.3556)
9,0.988111,0.011960,0.355321,0.001501,0.016210,1,regularization,High structural entropy (0.0120) and high bottleneck sensitivity (0.3553)
10,0.987638,0.012439,0.355491,0.004835,0.016861,1,regularization,High structural entropy (0.0124) and high bottleneck sensitivity (0.3555)
11,0.988426,0.011641,0.355208,-0.003248,0.015777,1,regularization,High structural entropy (0.0116) and high bottleneck sensitivity (0.3552)
12,0.988426,0.011641,0.355208,0.001759,0.015777,1,regularization,High structural entropy (0.0116) and high bottleneck sensitivity (0.3552)
13,0.988268,0.011801,0.355264,-0.003667,0.015993,1,regularization,High structural entropy (0.0118) and high bottleneck sensitivity (0.3553)
14,0.986379,0.013715,0.355945,-0.003491,0.018596,1,regularization,High structural entropy (0.0137) and high bottleneck sensitivity (0.3559)
15,0.986379,0.013715,0.355945,0.004092,0.018596,1,regularization,High structural entropy (0.0137) and high bottleneck sensitivity (0.3559)
16,0.984650,0.015469,0.356570,-0.000042,0.020984,1,regularization,High structural entropy (0.0155) and high bottleneck sensitivity (0.3566)
17,0.982141,0.018020,0.357481,0.002207,0.024462,1,regularization,High structural entropy (0.0180) and high bottleneck sensitivity (0.3575)
18,0.979170,0.021050,0.358565,0.003022,0.028598,1,regularization,High structural entropy (0.0211) and high bottleneck sensitivity (0.3586)
19,0.974186,0.026153,0.360400,0.003487,0.035579,1,regularization,High structural entropy (0.0262) and high bottleneck sensitivity (0.3604)
20,0.966141,0.034446,0.363401,0.001336,0.046964,1,regularization,High structural entropy (0.0344) and high bottleneck sensitivity (0.3634)
21,0.864643,0.145438,0.406059,0.001221,0.204495,1,regularization,High structural entropy (0.1454) and high bottleneck sensitivity (0.4061)
22,0.850828,0.161545,0.412653,0.003401,0.228207,1,regularization,High structural entropy (0.1615) and high bottleneck sensitivity (0.4127)
23,0.783306,0.244231,0.448224,0.000397,0.353702,1,regularization,High structural entropy (0.2442) and high bottleneck sensitivity (0.4482)
