layer_id,reliability_r_l,structural_entropy_S_l,D_R,delta_prob,combined_layer_risk_score,intervention_flag,intervention_type,intervention_reason
0,0.888546,0.118169,0.432909,0.020284,0.169325,1,regularization,High structural entropy (0.1182) and high bottleneck sensitivity (0.4329)
1,0.918807,0.084680,0.418651,0.011993,0.120131,1,regularization,High structural entropy (0.0847) and high bottleneck sensitivity (0.4187)
2,0.992533,0.007495,0.387553,0.007202,0.010400,1,regularization,High structural entropy (0.0075) and high bottleneck sensitivity (0.3876)
3,0.998247,0.001754,0.385335,0.010901,0.002430,1,regularization,High structural entropy (0.0018) and high bottleneck sensitivity (0.3853)
4,0.998407,0.001595,0.385273,0.003698,0.002209,1,regularization,High structural entropy (0.0016) and high bottleneck sensitivity (0.3853)
5,0.996021,0.003987,0.386196,0.002475,0.005526,1,regularization,High structural entropy (0.0040) and high bottleneck sensitivity (0.3862)
6,0.996180,0.003827,0.386135,0.003585,0.005305,1,regularization,High structural entropy (0.0038) and high bottleneck sensitivity (0.3861)
7,0.994275,0.005741,0.386874,-0.004858,0.007962,1,regularization,High structural entropy (0.0057) and high bottleneck sensitivity (0.3869)
8,0.993641,0.006379,0.387121,0.005269,0.008848,1,regularization,High structural entropy (0.0064) and high bottleneck sensitivity (0.3871)
9,0.993800,0.006219,0.387059,0.008733,0.008627,1,regularization,High structural entropy (0.0062) and high bottleneck sensitivity (0.3871)
10,0.995227,0.004784,0.386504,-0.003374,0.006633,1,regularization,High structural entropy (0.0048) and high bottleneck sensitivity (0.3865)
11,0.995545,0.004465,0.386381,-0.000578,0.006190,1,regularization,High structural entropy (0.0045) and high bottleneck sensitivity (0.3864)
12,0.995545,0.004465,0.386381,-0.004406,0.006190,1,regularization,High structural entropy (0.0045) and high bottleneck sensitivity (0.3864)
13,0.995227,0.004784,0.386504,-0.005775,0.006633,1,regularization,High structural entropy (0.0048) and high bottleneck sensitivity (0.3865)
14,0.993325,0.006698,0.387245,-0.000884,0.009292,1,regularization,High structural entropy (0.0067) and high bottleneck sensitivity (0.3872)
15,0.993008,0.007017,0.387368,0.001792,0.009735,1,regularization,High structural entropy (0.0070) and high bottleneck sensitivity (0.3874)
16,0.992058,0.007974,0.387739,-0.000025,0.011065,1,regularization,High structural entropy (0.0080) and high bottleneck sensitivity (0.3877)
17,0.987481,0.012598,0.389536,0.001020,0.017506,1,regularization,High structural entropy (0.0126) and high bottleneck sensitivity (0.3895)
18,0.985279,0.014831,0.390407,-0.000202,0.020621,1,regularization,High structural entropy (0.0148) and high bottleneck sensitivity (0.3904)
19,0.979951,0.020253,0.392529,0.003844,0.028203,1,regularization,High structural entropy (0.0203) and high bottleneck sensitivity (0.3925)
20,0.971548,0.028864,0.395924,0.002280,0.040293,1,regularization,High structural entropy (0.0289) and high bottleneck sensitivity (0.3959)
21,0.854091,0.157718,0.450373,0.000099,0.228750,1,regularization,High structural entropy (0.1577) and high bottleneck sensitivity (0.4504)
22,0.839373,0.175100,0.458270,-0.000529,0.255343,1,regularization,High structural entropy (0.1751) and high bottleneck sensitivity (0.4583)
23,0.766440,0.265999,0.501878,0.001058,0.399499,1,regularization,High structural entropy (0.2660) and high bottleneck sensitivity (0.5019)
