id,prompt,target,priority_score
193,Train 193: The capital of France is,Paris,9.91021472494496
185,Train 185: The capital of France is,Paris,9.864135097923135
169,Train 169: The capital of France is,Paris,9.834398303929628
25,Train 25: The capital of France is,Paris,9.814082295923434
129,Train 129: The capital of France is,Paris,9.797608424143327
145,Train 145: The capital of France is,Paris,9.786086016648332
49,Train 49: The capital of France is,Paris,9.767773601159933
33,Train 33: The capital of France is,Paris,9.724165705097402
41,Train 41: The capital of France is,Paris,9.71977340617297
113,Train 113: The capital of France is,Paris,9.695720293001285
81,Train 81: The capital of France is,Paris,9.695714291226395
161,Train 161: The capital of France is,Paris,9.693228556125685
9,Train 9: The capital of France is,Paris,9.671658177167263
177,Train 177: The capital of France is,Paris,9.651162115914339
65,Train 65: The capital of France is,Paris,9.6249893759103
121,Train 121: The capital of France is,Paris,9.620891163955529
153,Train 153: The capital of France is,Paris,9.609140689014675
105,Train 105: The capital of France is,Paris,9.606903027276129
17,Train 17: The capital of France is,Paris,9.588962721830976
97,Train 97: The capital of France is,Paris,9.537059372573202
137,Train 137: The capital of France is,Paris,9.53506778360519
57,Train 57: The capital of France is,Paris,9.534326564406145
89,Train 89: The capital of France is,Paris,9.498235891394652
73,Train 73: The capital of France is,Paris,9.473624613158098
1,Train 1: The capital of France is,Paris,9.281674848296824
150,Train 150: The DNS protocol primarily uses,UDP,8.95817117930288
110,Train 110: The DNS protocol primarily uses,UDP,8.846196065160619
14,Train 14: The DNS protocol primarily uses,UDP,8.804047600692428
166,Train 166: The DNS protocol primarily uses,UDP,8.793572502915922
182,Train 182: The DNS protocol primarily uses,UDP,8.771886089642939
22,Train 22: The DNS protocol primarily uses,UDP,8.765394169802457
126,Train 126: The DNS protocol primarily uses,UDP,8.757071708620204
118,Train 118: The DNS protocol primarily uses,UDP,8.745392254682228
190,Train 190: The DNS protocol primarily uses,UDP,8.744254918340374
142,Train 142: The DNS protocol primarily uses,UDP,8.725776453746656
102,Train 102: The DNS protocol primarily uses,UDP,8.722416460103485
198,Train 198: The DNS protocol primarily uses,UDP,8.698861494247756
6,Train 6: The DNS protocol primarily uses,UDP,8.69025194816655
134,Train 134: The DNS protocol primarily uses,UDP,8.686938968426693
158,Train 158: The DNS protocol primarily uses,UDP,8.682067527806794
70,Train 70: The DNS protocol primarily uses,UDP,8.676734950816098
174,Train 174: The DNS protocol primarily uses,UDP,8.654151272196904
30,Train 30: The DNS protocol primarily uses,UDP,8.65341605477275
