layer_idx,reliability_r_l,analytical_derivative
0,0.9972057176017738,0.8687404263313938
1,0.996450402987752,0.8693989361155559
2,0.9801651219201541,0.8838438553621986
3,0.9797068995394149,0.8842572412797585
4,0.9833738201305715,0.8809599183090315
5,0.9857728206420904,0.8788159930045436
6,0.9871923091963032,0.877552339274963
7,0.9883404512697801,0.8765328982907301
8,0.9890018747574306,0.8759466916702724
9,0.9898946903293709,0.875156649199944
10,0.9904657201280057,0.8746520981437985
11,0.989941562883174,0.8751152115750742
