layer_id,reliability_r_l,structural_entropy_S_l,D_R,empirical_delta_prob,structural_atmap_delta_prob,combined_layer_risk_score,crew_birnbaum_sensitivity,monitoring_candidate_flag,selected_for_intervention_flag,selected_by_empirical_policy,selected_by_birnbaum_policy,selected_by_combined_risk_policy,intervention_flag,intervention_type,intervention_reason
0,0.997373,0.002631,0.444389,0.015879,0.051951,0.003800,0.019430,1,1,1,1,0,1,regularization,"Selected by union_empirical_and_birnbaum policy: bypass-dominated caution (Attention/MLP paths are masked), high bottleneck sensitivity D_R (0.4444), high empirical sensitivity (0.0159)"
1,0.995591,0.004419,0.409794,0.011425,0.037548,0.006230,0.019747,1,1,1,0,0,1,regularization,"Selected by union_empirical_and_birnbaum policy: bypass-dominated caution (Attention/MLP paths are masked), high bottleneck sensitivity D_R (0.4098), high empirical sensitivity (0.0114)"
2,0.995294,0.004717,0.354955,0.007386,0.009999,0.006392,0.020305,1,1,1,0,0,1,regularization,Selected by union_empirical_and_birnbaum policy: bypass-dominated caution (Attention/MLP paths are masked)
3,0.995428,0.004583,0.341074,0.003310,0.001948,0.006146,0.020466,1,0,0,0,0,0,freeze,Stable representational highway block; frozen to prevent activation drift
4,0.995552,0.004458,0.341225,0.008761,0.002013,0.005979,0.020462,1,1,1,0,0,1,regularization,Selected by union_empirical_and_birnbaum policy: bypass-dominated caution (Attention/MLP paths are masked)
5,0.995678,0.004331,0.340996,-0.001781,0.001851,0.005808,0.020463,1,0,0,0,0,0,freeze,Stable representational highway block; frozen to prevent activation drift
6,0.995795,0.004214,0.341145,0.001876,0.001916,0.005652,0.020459,1,0,0,0,0,0,freeze,Stable representational highway block; frozen to prevent activation drift
7,0.995877,0.004132,0.342099,0.001908,0.002466,0.005545,0.020446,1,0,0,0,0,0,freeze,Stable representational highway block; frozen to prevent activation drift
8,0.995960,0.004048,0.341964,0.002488,0.002369,0.005432,0.020447,1,0,0,0,0,0,freeze,Stable representational highway block; frozen to prevent activation drift
9,0.996042,0.003966,0.341884,0.003658,0.002305,0.005321,0.020446,1,0,0,0,0,0,freeze,Stable representational highway block; frozen to prevent activation drift
10,0.996114,0.003894,0.342126,0.000674,0.002434,0.005226,0.020442,1,0,0,0,0,0,freeze,Stable representational highway block; frozen to prevent activation drift
11,0.996175,0.003832,0.342366,0.003386,0.002564,0.005144,0.020438,1,0,0,0,0,0,freeze,Stable representational highway block; frozen to prevent activation drift
12,0.996233,0.003774,0.342386,0.001118,0.002564,0.005066,0.020437,1,0,0,0,0,0,freeze,Stable representational highway block; frozen to prevent activation drift
13,0.996288,0.003719,0.342405,0.001495,0.002564,0.004992,0.020436,1,0,0,0,0,0,freeze,Stable representational highway block; frozen to prevent activation drift
14,0.996314,0.003693,0.343288,0.002967,0.003081,0.004961,0.020425,1,0,0,0,0,0,freeze,Stable representational highway block; frozen to prevent activation drift
15,0.996308,0.003699,0.344273,0.002882,0.003662,0.004972,0.020413,1,0,0,0,0,0,freeze,Stable representational highway block; frozen to prevent activation drift
16,0.996274,0.003733,0.345196,-0.001176,0.004210,0.005021,0.020403,1,0,0,0,0,0,freeze,Stable representational highway block; frozen to prevent activation drift
17,0.996161,0.003847,0.347864,0.002787,0.005785,0.005185,0.020373,1,0,0,0,0,0,freeze,Stable representational highway block; frozen to prevent activation drift
18,0.995977,0.004031,0.350361,0.000696,0.007259,0.005444,0.020347,1,0,0,0,0,0,freeze,Stable representational highway block; frozen to prevent activation drift
19,0.995702,0.004308,0.353688,0.000210,0.009205,0.005831,0.020313,1,0,0,0,0,0,freeze,Stable representational highway block; frozen to prevent activation drift
20,0.995273,0.004739,0.359390,0.000185,0.012468,0.006442,0.020255,1,0,0,0,1,0,freeze,Stable representational highway block; frozen to prevent activation drift
21,0.992375,0.007654,0.469037,0.001233,0.062309,0.011244,0.019327,1,1,0,1,1,1,regularization,"Selected by union_empirical_and_birnbaum policy: bypass-dominated caution (Attention/MLP paths are masked), high bottleneck sensitivity D_R (0.4690)"
22,0.989323,0.010734,0.484755,0.000211,0.068487,0.015938,0.019267,1,1,0,1,1,1,regularization,"Selected by union_empirical_and_birnbaum policy: bypass-dominated caution (Attention/MLP paths are masked), high bottleneck sensitivity D_R (0.4848)"
23,0.984662,0.015457,0.608448,0.000796,0.105698,0.024862,0.018651,1,1,0,1,1,1,regularization,"Selected by union_empirical_and_birnbaum policy: bypass-dominated caution (Attention/MLP paths are masked), high bottleneck sensitivity D_R (0.6084)"
