sample_id,curriculum_score,pcrf_weight,combined_weight
79,18.4169,0.00372,18.4854
43,18.3358,0.00372,18.4039
78,16.8746,0.00372,16.9373
66,16.6828,0.00372,16.7448
63,14.9888,0.00372,15.0445
74,14.7267,0.00372,14.7815
58,14.4296,0.00372,14.4832
56,14.3734,0.00372,14.4269
60,13.7812,0.00372,13.8325
77,13.1657,0.00372,13.2147
67,13.1607,0.00372,13.2096
71,12.7302,0.00372,12.7775
53,12.6074,0.00372,12.6543
75,12.4413,0.00372,12.4876
76,12.4327,0.00372,12.4789
59,11.9774,0.00372,12.0220
70,11.8165,0.00372,11.8605
37,10.9800,0.00372,11.0208
57,10.9517,0.00372,10.9924
68,10.4673,0.00372,10.5062
61,10.1275,0.00372,10.1651
72,10.0737,0.00372,10.1112
15,9.5035,0.00372,9.5389
12,9.2147,0.00372,9.2489
1,9.1289,0.00372,9.1629
69,8.8218,0.00372,8.8546
42,8.7956,0.00372,8.8283
62,8.6630,0.00372,8.6953
2,8.5943,0.00372,8.6263
45,8.0796,0.00372,8.1097
44,7.8093,0.00372,7.8383
51,7.5305,0.00372,7.5585
73,7.4010,0.00372,7.4285
7,7.2357,0.00372,7.2626
55,7.1407,0.00372,7.1673
38,7.1254,0.00372,7.1519
48,7.0811,0.00372,7.1074
49,7.0143,0.00372,7.0404
17,6.8644,0.00372,6.8899
3,6.8350,0.00372,6.8604
52,6.8299,0.00372,6.8552
28,6.7046,0.00372,6.7296
47,6.4861,0.00372,6.5102
30,6.3633,0.00372,6.3870
33,6.3443,0.00372,6.3679
22,6.0081,0.00372,6.0304
50,5.8973,0.00372,5.9192
31,5.6988,0.00372,5.7200
39,5.6211,0.00372,5.6420
26,5.6087,0.00372,5.6295
23,5.5484,0.00372,5.5690
10,5.4768,0.00372,5.4972
25,5.4558,0.00372,5.4760
4,5.4106,0.00372,5.4308
14,5.3847,0.00372,5.4047
54,5.3731,0.00372,5.3931
41,5.3503,0.00372,5.3702
21,5.2897,0.00372,5.3093
13,5.2121,0.00372,5.2315
6,5.0607,0.00372,5.0795
36,4.9903,0.00372,5.0089
34,4.9601,0.00372,4.9785
11,4.9589,0.00372,4.9774
8,4.9232,0.00372,4.9415
35,4.9085,0.00372,4.9267
64,4.8958,0.00372,4.9140
18,4.7796,0.00372,4.7974
46,4.6753,0.00372,4.6926
9,4.6311,0.00372,4.6483
24,4.5874,0.00372,4.6045
80,4.5763,0.00372,4.5933
27,4.5228,0.00372,4.5396
65,4.4999,0.00372,4.5166
20,4.3678,0.00372,4.3840
32,4.3070,0.00372,4.3230
19,4.2672,0.00372,4.2831
40,4.2304,0.00372,4.2462
29,4.0441,0.00372,4.0592
5,3.9261,0.00372,3.9407
16,3.5553,0.00372,3.5685
