layer_id,D_R,delta_l,intervention_flag,intervention_type
0,0.39507,0.88869,1,regularization
1,0.38395,0.91442,1,regularization
2,0.35879,0.97855,0,freeze
3,0.35402,0.99174,0,freeze
4,0.35453,0.99032,0,freeze
5,0.35459,0.99016,0,freeze
6,0.35492,0.98921,0,freeze
7,0.35560,0.98732,0,freeze
8,0.35560,0.98732,0,freeze
9,0.35532,0.98811,0,freeze
10,0.35549,0.98764,0,freeze
11,0.35521,0.98843,0,freeze
12,0.35521,0.98843,0,freeze
13,0.35526,0.98827,0,freeze
14,0.35594,0.98638,0,freeze
15,0.35594,0.98638,0,freeze
16,0.35657,0.98465,0,freeze
17,0.35748,0.98214,0,freeze
18,0.35857,0.97917,0,freeze
19,0.36040,0.97419,0,freeze
20,0.36340,0.96614,0,freeze
21,0.40606,0.86464,0,freeze
22,0.41265,0.85083,1,regularization
23,0.44822,0.78331,1,regularization
